#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	31.07	0.500	38.00
0.751	31.17	1.001	38.12
1.251	31.28	1.501	38.12
1.752	31.28	2.002	38.12
2.253	31.28	2.503	38.12
2.754	31.39	3.003	38.12
3.254	31.28	3.504	38.12
3.755	31.28	4.005	38.12
4.256	31.39	4.506	38.12
4.756	31.49	5.006	38.12
5.256	31.49	5.507	38.12
5.757	31.39	6.008	38.12
6.258	31.49	6.509	38.12
6.758	31.39	7.009	38.12
7.259	31.49	7.510	38.12
7.760	31.49	8.011	38.12
8.261	31.49	8.512	38.00
8.761	31.49	9.012	38.00
9.262	31.71	9.513	38.00
9.763	31.60	10.014	38.00
10.264	31.60	10.513	38.12
10.764	31.60	11.014	38.12
11.265	31.71	11.515	38.12
11.766	31.60	12.016	38.12
12.267	31.71	12.516	38.12
12.767	31.71	13.017	38.12
13.268	31.71	13.518	38.12
13.769	31.71	14.019	38.12
14.270	31.71	14.519	38.12
14.770	31.60	15.020	38.00
15.271	31.71	15.521	38.12
15.772	31.82	16.022	38.12
16.272	31.82	16.522	38.12
16.772	31.71	17.023	38.12
17.273	31.71	17.524	38.12
17.774	31.71	18.025	38.12
18.274	31.71	18.525	38.12
18.775	31.82	19.026	38.24
19.276	31.82	19.527	38.24
19.777	31.71	20.027	38.24
20.277	31.71	20.528	38.24
20.778	31.71	21.029	38.24
21.279	31.82	21.530	38.24
21.780	31.82	22.030	38.24
22.280	31.82	22.530	38.24
22.781	31.82	23.031	38.24
23.282	31.82	23.532	38.36
23.782	31.82	24.032	38.36
24.283	31.82	24.533	38.36
24.784	31.82	25.034	38.36
25.285	31.82	25.535	38.36
25.785	31.82	26.035	38.24
26.286	31.82	26.536	38.24
26.787	31.82	27.037	38.36
27.288	31.82	27.537	38.36
27.788	31.82	28.038	38.36
28.289	31.82	28.539	38.36
28.789	31.82	29.040	38.36
29.290	31.82	29.540	38.36
29.790	31.82	30.041	38.36
30.291	31.82	30.542	38.47
30.792	31.92	31.043	38.47
31.292	31.82	31.543	38.47
31.793	31.82	32.044	38.12
32.294	31.82	32.545	37.76
