#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	29.58	0.500	28.39
0.750	30.22	1.000	28.61
1.251	30.75	1.501	28.82
1.752	31.17	2.002	29.14
2.253	31.49	2.503	29.25
2.753	31.82	3.003	29.47
3.254	32.25	3.504	29.47
3.755	32.36	4.005	29.79
4.256	32.79	4.505	30.00
4.756	33.01	5.006	30.11
5.256	33.12	5.507	30.22
5.757	33.45	6.008	30.33
6.258	33.56	6.508	30.44
6.758	33.78	7.009	30.55
7.259	34.00	7.510	30.55
7.760	34.00	8.011	30.65
8.260	34.22	8.511	30.65
8.761	34.33	9.012	30.76
9.262	34.44	9.513	30.87
9.763	34.55	10.014	30.87
10.263	34.66	10.514	30.87
10.764	34.77	11.015	30.98
11.265	34.89	11.516	30.98
11.766	35.00	12.015	30.98
12.266	35.11	12.516	31.20
12.767	35.22	13.017	31.20
13.268	35.22	13.518	31.20
13.769	35.33	14.018	31.31
14.269	35.45	14.519	31.31
14.770	35.45	15.020	31.31
15.271	35.45	15.521	31.42
15.772	35.56	16.021	31.42
16.272	35.67	16.522	31.42
16.773	35.67	17.023	31.53
17.274	35.79	17.524	31.53
17.774	35.79	18.024	31.64
18.274	35.79	18.525	31.53
18.775	35.90	19.026	31.64
19.276	35.90	19.527	31.64
19.776	36.01	20.027	31.64
20.277	36.13	20.528	31.64
20.778	36.13	21.029	31.64
21.279	36.13	21.529	31.64
21.779	36.24	22.030	31.75
22.280	36.24	22.531	31.64
22.781	36.24	23.032	31.75
23.282	36.35	23.532	31.86
23.782	36.35	24.032	31.75
24.283	36.35	24.533	31.86
24.784	36.47	25.034	31.86
25.284	36.35	25.534	31.86
25.785	36.47	26.035	31.97
26.286	36.47	26.536	31.97
26.787	36.47	27.037	31.86
27.287	36.47	27.537	31.97
27.788	36.58	28.038	31.97
28.289	36.58	28.539	31.97
28.790	36.70	29.039	31.97
29.290	36.70	29.540	31.97
29.790	36.70	30.041	31.97
30.291	36.81	30.542	31.97
30.792	36.70	31.042	32.08
31.292	36.81	31.543	32.08
31.793	36.81	32.044	31.97
32.294	36.81	32.545	32.08
32.794	36.93	33.045	32.19
33.295	36.93	33.546	32.08
33.796	36.93	34.047	32.19
34.297	37.04	34.548	32.08
34.797	36.93	35.048	32.19
35.298	37.04	35.549	32.19
35.799	37.04	36.049	32.19
36.300	37.04	36.549	32.19
36.800	37.04	37.050	32.30
37.301	37.27	37.551	32.19
37.802	37.04	38.052	32.30
38.303	37.16	38.552	32.30
38.803	37.16	39.053	32.30
39.304	37.27	39.554	32.30
39.805	37.27	40.055	32.41
40.306	37.27	40.555	32.30
40.806	37.27	41.056	32.41
41.307	37.27	41.557	32.41
41.808	37.27	42.058	32.30
42.307	37.27	42.558	32.41
42.808	37.39	43.059	32.41
43.309	37.39	43.560	32.41
43.810	37.27	44.061	32.41
44.310	37.39	44.561	32.30
