#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	410	0.050	414
0.075	409	0.101	422
0.126	406	0.151	416
0.177	409	0.202	421
0.228	411	0.253	419
0.278	410	0.304	421
0.329	407	0.354	418
0.380	409	0.405	421
0.431	409	0.455	418
0.481	411	0.507	416
0.532	410	0.557	420
0.582	410	0.608	416
0.634	410	0.658	418
0.684	411	0.709	412
0.735	411	0.759	423
0.785	411	0.811	419
0.836	412	0.861	423
0.886	411	0.912	432
0.938	411	0.962	448
0.988	411	1.013	467
1.039	411	1.064	489
1.089	410	1.115	513
1.140	411	1.165	540
1.191	411	1.216	564
1.242	413	1.266	586
1.292	413	1.318	607
1.343	414	1.368	622
1.393	415	1.419	633
1.445	416	1.469	637
1.495	417	1.520	635
1.546	418	1.571	631
1.596	420	1.622	619
1.647	420	1.672	601
1.697	421	1.723	582
1.749	423	1.773	560
1.799	423	1.824	536
1.850	423	1.875	511
1.900	424	1.926	488
1.951	422	1.976	466
2.002	421	2.027	449
2.053	418	2.077	436
2.103	415	2.129	425
2.154	413	2.179	423
2.204	410	2.230	424
2.256	408	2.280	433
2.306	404	2.331	445
2.357	404	2.382	463
2.407	401	2.433	483
2.458	401	2.483	506
2.508	400	2.534	530
2.560	400	2.584	554
2.610	401	2.635	576
2.661	402	2.686	596
2.711	406	2.737	613
2.762	408	2.787	624
2.813	412	2.838	630
2.864	416	2.888	632
2.914	420	2.940	628
2.965	423	2.990	618
3.015	427	3.041	605
3.067	428	3.091	587
3.117	433	3.142	566
3.168	433	3.193	542
3.218	434	3.244	519
3.269	433	3.295	497
3.319	431	3.345	476
3.371	428	3.396	459
3.421	425	3.446	444
3.472	420	3.498	434
3.522	416	3.548	428
3.573	410	3.599	428
3.624	405	3.649	434
3.675	401	3.700	444
3.725	397	3.751	459
3.776	393	3.802	478
3.826	390	3.852	499
3.878	389	3.903	521
3.928	390	3.953	544
3.979	390	4.005	566
4.029	392	4.055	586
4.080	396	4.106	603
4.131	402	4.156	616
4.182	408	4.207	623
4.232	414	4.257	627
4.283	421	4.309	625
4.333	427	4.359	618
4.384	432	4.410	606
4.435	438	4.460	591
4.486	442	4.511	572
4.536	443	4.562	550
4.587	444	4.613	528
4.637	444	4.663	505
4.689	441	4.714	485
4.739	438	4.764	467
4.790	433	4.816	451
4.840	426	4.866	440
4.891	420	4.917	435
4.942	412	4.967	432
4.993	404	5.018	436
5.043	398	5.068	445
5.094	391	5.120	458
5.144	386	5.170	474
5.195	382	5.221	493
5.246	380	5.271	514
5.297	378	5.322	536
5.347	380	5.373	557
5.398	383	5.424	576
5.448	387	5.474	593
5.500	394	5.525	605
5.550	401	5.575	616
5.601	409	5.627	619
5.651	418	5.677	620
5.702	427	5.728	614
5.753	436	5.778	605
5.804	441	5.829	592
5.854	448	5.879	575
5.905	450	5.931	556
5.955	454	5.981	536
6.006	454	6.032	515
6.057	452	6.082	495
6.108	448	6.133	479
6.158	442	6.184	462
6.209	434	6.235	452
6.259	426	6.285	444
6.311	416	6.336	441
