#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	449	0.051	646
0.076	449	0.101	647
0.127	449	0.153	646
0.177	448	0.203	645
0.228	448	0.254	645
0.278	449	0.304	646
0.330	446	0.355	646
0.380	448	0.405	645
0.431	447	0.457	645
0.481	448	0.507	645
0.532	449	0.558	645
0.583	448	0.608	647
0.634	447	0.659	646
0.684	448	0.710	645
0.735	448	0.761	649
0.785	448	0.811	645
0.837	448	0.862	647
0.888	449	0.912	646
0.938	449	0.964	647
0.989	449	1.014	647
1.039	449	1.065	646
1.090	448	1.115	646
1.141	448	1.166	646
1.192	448	1.216	647
1.242	448	1.268	644
1.293	448	1.318	646
1.343	448	1.369	646
1.395	449	1.419	643
1.445	449	1.470	646
1.496	448	1.521	646
1.546	448	1.572	646
1.597	448	1.622	647
1.648	448	1.673	646
1.699	447	1.723	647
1.749	448	1.775	646
1.800	448	1.825	645
1.850	448	1.876	646
1.902	448	1.926	645
1.952	447	1.977	646
2.003	447	2.027	646
2.053	448	2.079	645
2.104	448	2.129	646
2.154	448	2.180	644
2.206	448	2.230	646
2.256	448	2.281	641
2.307	448	2.332	626
2.357	447	2.383	606
2.408	448	2.433	580
2.459	449	2.484	548
2.510	449	2.534	513
2.560	448	2.586	475
2.611	449	2.636	439
2.661	448	2.687	406
2.713	448	2.737	375
2.763	448	2.788	348
2.814	448	2.838	329
2.864	448	2.890	319
2.915	447	2.940	316
2.965	447	2.991	322
3.017	447	3.041	335
3.067	447	3.092	356
3.118	447	3.143	383
3.168	447	3.194	414
3.219	446	3.244	451
3.270	448	3.295	488
3.321	447	3.345	525
3.371	449	3.397	558
3.422	449	3.447	587
3.472	449	3.498	612
3.524	449	3.548	631
3.574	449	3.599	638
3.625	449	3.649	641
3.675	449	3.701	635
3.726	449	3.752	622
3.776	449	3.802	600
3.828	449	3.853	573
3.878	449	3.903	542
3.929	447	3.955	507
3.979	448	4.005	471
4.030	448	4.056	436
4.081	447	4.106	403
4.132	448	4.157	375
4.182	448	4.208	350
4.233	447	4.259	334
4.283	447	4.309	324
4.335	447	4.360	322
4.385	448	4.410	328
4.436	448	4.462	341
4.486	447	4.512	363
4.537	447	4.563	389
4.587	447	4.613	421
4.639	447	4.664	455
4.689	448	4.714	491
4.740	448	4.766	525
4.790	448	4.816	558
4.841	447	4.867	587
4.892	448	4.917	609
4.943	449	4.968	626
4.993	450	5.019	636
5.044	450	5.070	636
5.094	449	5.120	630
5.146	450	5.171	617
5.196	450	5.221	598
5.247	449	5.273	570
5.297	450	5.323	539
5.348	448	5.374	505
5.398	449	5.424	470
5.450	448	5.475	435
5.500	448	5.525	401
5.551	448	5.577	374
5.601	447	5.627	351
5.652	448	5.678	334
5.703	447	5.728	328
5.754	447	5.779	325
5.804	448	5.830	331
5.855	447	5.881	346
5.905	447	5.931	369
5.957	448	5.982	394
6.007	448	6.032	426
6.058	448	6.084	460
6.108	448	6.134	495
6.159	449	6.185	528
6.209	449	6.235	560
6.261	449	6.286	587
6.311	449	6.336	611
6.362	448	6.388	624
6.412	449	6.438	632
6.463	449	6.489	633
6.514	449	6.539	625
6.565	448	6.590	612
6.615	449	6.641	590
6.666	449	6.692	564
6.716	448	6.742	533
6.768	449	6.793	502
6.818	448	6.843	466
6.869	448	6.895	432
6.919	448	6.945	400
6.970	448	6.996	374
7.020	446	7.046	352
7.072	447	7.097	338
7.122	448	7.147	330
7.173	448	7.199	329
7.223	447	7.249	337
7.274	448	7.300	352
7.325	448	7.350	372
7.376	448	7.401	399
7.426	449	7.452	429
7.477	449	7.503	463
7.527	449	7.553	496
7.579	449	7.604	530
7.629	449	7.654	561
7.680	448	7.706	587
7.730	449	7.756	609
7.781	449	7.807	623
7.831	448	7.857	629
7.883	449	7.908	630
7.933	448	7.958	622
7.984	449	8.010	606
8.034	448	8.060	587
8.085	448	8.111	559
8.136	448	8.161	530
