#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	468	0.051	577
0.076	467	0.102	577
0.127	468	0.152	577
0.178	470	0.203	578
0.229	467	0.253	577
0.279	469	0.305	578
0.330	468	0.355	579
0.380	467	0.406	575
0.432	468	0.456	578
0.482	468	0.507	575
0.533	468	0.558	580
0.583	468	0.609	576
0.634	468	0.659	579
0.685	467	0.710	575
0.736	468	0.760	566
0.786	467	0.811	552
0.837	468	0.862	534
0.887	467	0.913	511
0.938	467	0.963	487
0.989	467	1.014	462
1.040	468	1.064	435
1.090	468	1.116	410
1.141	468	1.166	387
1.191	468	1.217	368
1.243	468	1.267	354
1.293	467	1.318	346
1.344	468	1.369	342
1.394	469	1.420	347
1.445	468	1.470	355
1.496	468	1.521	370
1.547	467	1.571	389
1.597	467	1.622	411
1.648	468	1.673	435
1.698	467	1.724	461
1.749	468	1.774	487
1.800	468	1.825	510
1.851	467	1.876	532
1.901	467	1.927	551
1.952	467	1.978	563
2.002	467	2.028	571
2.054	468	2.079	573
2.104	468	2.129	570
2.155	467	2.181	561
2.205	468	2.231	548
2.256	467	2.282	529
2.307	469	2.332	507
2.358	468	2.383	483
2.408	468	2.433	458
2.459	467	2.485	432
2.509	468	2.535	409
2.560	468	2.586	387
2.611	468	2.636	370
2.662	468	2.687	357
2.712	468	2.738	349
2.763	467	2.789	348
2.813	468	2.839	351
2.865	468	2.890	360
2.915	468	2.940	374
2.966	467	2.992	392
3.016	468	3.042	414
3.067	467	3.093	438
3.118	467	3.143	464
3.169	468	3.194	489
3.219	468	3.245	511
3.270	467	3.296	532
3.320	468	3.346	547
3.371	468	3.397	561
3.422	468	3.447	568
3.473	467	3.498	569
3.523	467	3.549	566
3.574	468	3.600	557
3.624	469	3.650	543
3.676	468	3.701	524
3.726	468	3.751	502
3.777	468	3.803	479
3.827	468	3.853	455
3.878	468	3.904	431
3.929	468	3.954	407
3.980	467	4.005	387
4.030	468	4.056	371
4.081	468	4.107	359
4.131	468	4.157	352
4.182	466	4.208	350
4.233	468	4.258	355
4.284	467	4.309	364
4.334	467	4.360	378
4.385	467	4.411	397
4.435	467	4.461	419
4.487	467	4.512	442
4.537	467	4.562	466
4.588	467	4.614	490
4.638	468	4.664	513
4.689	468	4.715	531
4.740	468	4.765	548
4.791	468	4.816	560
4.841	467	4.867	566
4.892	469	4.918	567
4.942	468	4.968	561
4.993	469	5.019	552
5.044	469	5.069	538
5.095	469	5.120	520
5.145	468	5.171	499
5.196	467	5.222	476
5.246	469	5.272	451
5.298	467	5.323	429
5.348	467	5.373	405
5.399	467	5.425	388
5.449	467	5.475	372
5.500	468	5.526	361
5.551	467	5.576	355
5.602	466	5.627	355
5.652	467	5.678	359
5.703	467	5.729	369
5.753	468	5.779	384
5.805	466	5.830	402
5.855	467	5.880	423
5.906	468	5.931	446
5.956	467	5.982	470
6.007	467	6.033	492
6.057	469	6.083	513
6.109	468	6.134	531
6.159	468	6.184	546
6.210	467	6.236	557
6.260	468	6.286	561
6.311	469	6.337	563
6.362	468	6.387	558
6.413	468	6.438	548
6.463	467	6.489	534
6.514	469	6.540	516
6.564	468	6.590	496
6.616	468	6.641	473
6.666	467	6.691	450
6.717	467	6.742	428
6.767	467	6.793	406
6.818	468	6.844	388
6.868	467	6.894	373
6.920	467	6.945	364
6.970	468	6.995	357
7.021	467	7.047	358
7.071	467	7.097	363
7.122	467	7.148	373
7.173	468	7.198	388
7.224	467	7.249	404
7.274	467	7.300	426
7.325	468	7.351	448
7.375	468	7.401	471
7.427	468	7.452	494
7.477	468	7.502	514
7.528	468	7.553	532
7.578	468	7.604	547
7.629	469	7.655	555
7.679	468	7.705	560
7.731	468	7.756	559
7.781	468	7.806	554
7.832	468	7.858	544
7.882	467	7.908	530
7.933	467	7.959	511
7.984	467	8.009	492
8.035	468	8.060	469
8.085	467	8.111	448
8.136	467	8.162	426
8.186	467	8.212	405
8.238	468	8.263	387
8.288	467	8.313	374
8.339	468	8.365	366
8.389	468	8.415	361
8.440	467	8.466	361
8.490	468	8.516	367
8.542	467	8.567	377
8.592	468	8.617	392
8.643	468	8.669	410
8.693	468	8.719	429
8.744	468	8.770	452
8.795	468	8.820	473
8.846	469	8.871	494
8.896	468	8.922	513
8.947	468	8.973	531
8.997	468	9.023	544
9.049	468	9.074	553
9.099	468	9.124	557
9.150	469	9.176	556
9.200	467	9.226	551
9.251	469	9.277	540
9.301	468	9.327	525
9.353	467	9.378	508
9.403	467	9.428	489
9.454	468	9.480	467
9.504	468	9.530	446
9.555	468	9.581	425
9.606	468	9.631	404
9.657	467	9.682	389
9.707	468	9.733	377
9.758	468	9.784	368
9.808	468	9.834	364
9.860	468	9.885	365
9.910	468	9.935	371
9.961	467	9.987	382
10.011	468	10.037	396
10.062	468	10.088	413
10.112	468	10.138	432
10.164	468	10.189	455
10.214	467	10.239	475
10.265	468	10.291	495
10.315	467	10.341	514
10.366	467	10.392	531
10.418	468	10.442	542
10.468	468	10.493	551
10.519	467	10.544	554
10.569	469	10.595	553
10.620	468	10.645	547
10.671	468	10.696	535
10.722	468	10.746	522
10.772	467	10.798	503
10.823	468	10.848	484
10.873	467	10.899	464
10.925	467	10.949	443
10.975	468	11.000	422
