#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	447	0.050	611
0.075	448	0.100	614
0.126	447	0.151	613
0.177	448	0.201	616
0.227	447	0.253	615
0.278	449	0.303	614
0.328	446	0.354	614
0.380	449	0.404	615
0.430	447	0.455	614
0.481	446	0.506	613
0.531	447	0.557	615
0.582	447	0.607	611
0.633	447	0.658	615
0.684	448	0.708	613
0.734	448	0.760	616
0.785	447	0.810	614
0.835	448	0.861	615
0.886	448	0.911	617
0.937	446	0.962	615
0.988	447	1.013	613
1.038	448	1.064	615
1.089	447	1.115	615
1.139	448	1.165	612
1.191	447	1.216	601
1.241	448	1.266	584
1.292	447	1.318	564
1.342	447	1.368	539
1.393	447	1.419	509
1.444	447	1.469	479
1.495	449	1.520	448
1.545	448	1.571	418
1.596	448	1.622	393
1.646	447	1.672	371
1.698	447	1.723	356
1.748	448	1.773	346
1.799	448	1.824	345
1.849	447	1.875	349
1.900	448	1.926	360
1.950	447	1.976	375
2.002	448	2.027	397
2.052	446	2.077	424
2.103	447	2.129	451
2.153	446	2.179	480
2.204	447	2.230	509
2.255	448	2.280	537
2.306	448	2.331	561
2.356	448	2.382	579
2.407	447	2.433	594
2.457	447	2.483	602
2.509	448	2.534	605
2.559	447	2.584	600
2.610	448	2.635	591
2.660	448	2.686	576
2.711	449	2.737	556
2.761	449	2.787	531
2.813	449	2.838	505
2.863	448	2.888	477
2.914	448	2.940	451
2.964	448	2.990	423
3.015	448	3.041	400
3.066	447	3.091	381
3.117	448	3.142	366
3.167	447	3.193	358
3.218	447	3.244	355
3.268	447	3.294	360
3.320	447	3.345	367
3.370	447	3.395	383
3.421	447	3.446	402
3.471	447	3.497	426
3.522	446	3.548	450
3.572	447	3.598	478
3.624	447	3.649	506
3.674	448	3.699	532
3.725	446	3.751	555
3.775	446	3.801	574
3.826	447	3.852	589
3.877	448	3.902	597
3.928	448	3.953	601
3.978	449	4.004	597
4.029	448	4.055	589
4.079	449	4.105	575
4.131	448	4.156	555
4.181	448	4.206	531
4.232	448	4.258	505
4.282	448	4.308	477
4.333	448	4.359	451
4.383	447	4.409	425
4.435	448	4.460	402
4.485	447	4.510	383
4.536	447	4.562	369
4.586	448	4.612	362
4.637	448	4.663	359
4.688	447	4.713	364
4.739	447	4.764	373
4.789	446	4.815	389
4.840	447	4.866	407
4.890	447	4.916	430
4.942	447	4.967	455
4.992	448	5.017	482
5.043	447	5.069	508
5.093	448	5.119	533
5.144	447	5.170	553
5.194	449	5.220	572
5.246	449	5.271	585
5.296	449	5.321	592
5.347	448	5.373	594
5.397	448	5.423	590
5.448	448	5.474	581
5.499	448	5.524	567
5.550	447	5.575	549
5.600	448	5.626	527
5.651	448	5.677	503
5.701	448	5.727	477
5.753	448	5.778	452
5.803	448	5.828	428
5.854	447	5.880	406
5.904	447	5.930	390
5.955	448	5.981	374
6.005	447	6.031	370
6.057	447	6.082	368
6.107	447	6.132	371
6.158	447	6.184	379
6.208	446	6.234	393
6.259	446	6.285	412
6.311	447	6.335	434
6.361	447	6.386	457
6.412	448	6.437	482
6.462	448	6.488	507
6.513	448	6.538	532
6.564	449	6.589	551
6.615	448	6.639	566
6.665	448	6.691	581
6.716	448	6.741	588
6.766	448	6.792	590
6.818	449	6.842	587
6.868	448	6.893	578
6.919	448	6.943	564
6.969	448	6.995	546
7.020	448	7.045	525
7.070	448	7.096	500
7.122	447	7.146	476
7.172	448	7.197	452
7.223	447	7.248	430
7.273	448	7.299	409
7.324	447	7.349	392
7.375	447	7.400	379
7.426	447	7.450	374
7.476	448	7.502	371
7.527	448	7.552	376
7.577	447	7.603	384
7.629	448	7.653	399
7.679	448	7.704	416
7.730	449	7.754	438
7.780	447	7.806	460
7.831	448	7.856	485
7.881	448	7.907	509
7.933	448	7.957	529
7.983	448	8.008	550
8.034	448	8.059	566
8.084	447	8.110	576
8.135	447	8.160	583
8.186	447	8.211	584
8.237	447	8.261	581
8.287	448	8.313	572
8.338	447	8.363	559
8.388	447	8.414	542
8.440	448	8.464	521
8.490	446	8.515	498
8.541	447	8.565	475
8.591	447	8.617	453
8.642	447	8.667	431
8.692	447	8.718	411
8.744	447	8.768	397
8.794	448	8.819	385
8.845	447	8.870	379
8.895	447	8.921	378
8.946	448	8.971	380
8.997	445	9.022	390
9.048	448	9.072	403
9.098	447	9.124	420
9.149	447	9.174	440
9.199	448	9.225	462
9.251	448	9.275	484
9.301	447	9.326	507
9.352	448	9.376	529
9.402	447	9.428	547
9.453	447	9.479	561
9.503	447	9.529	573
9.555	447	9.580	579
9.605	448	9.630	581
9.656	447	9.682	577
9.706	448	9.732	569
9.757	448	9.783	557
9.808	448	9.833	539
9.859	447	9.884	520
9.909	447	9.935	498
9.960	447	9.986	475
10.010	448	10.036	453
10.062	448	10.087	432
10.112	448	10.137	414
10.163	447	10.189	399
10.213	448	10.239	389
10.264	448	10.290	383
10.314	447	10.340	381
10.366	447	10.391	386
10.416	448	10.441	395
10.467	447	10.493	407
10.517	447	10.543	425
10.568	448	10.594	444
10.619	448	10.644	464
10.670	447	10.695	485
10.720	448	10.746	509
10.771	447	10.797	527
10.821	447	10.847	545
10.873	447	10.898	559
10.923	447	10.948	569
10.974	447	11.000	575
11.024	447	11.050	576
11.075	447	11.101	572
11.125	449	11.151	564
11.177	448	11.202	552
11.227	449	11.252	535
11.278	448	11.304	517
