#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
2.242114	2.124926	0.021084
3.304575	2.124887	0.021150
4.367001	2.124813	0.021206
5.429388	2.124765	0.021268
6.491766	2.124739	0.021332
7.554127	2.124692	0.021394
8.616458	2.124650	0.021456
9.678777	2.124613	0.021514
10.741071	2.124572	0.021578
11.803349	2.124525	0.021642
12.865596	2.124475	0.021704
13.927824	2.124430	0.021764
14.990026	2.124389	0.021832
16.052213	2.124350	0.021902
17.114376	2.124304	0.021964
18.176517	2.124256	0.022030
19.238632	2.124205	0.022092
20.300722	2.124158	0.022156
21.362790	2.124112	0.022220
22.424834	2.124064	0.022284
23.486854	2.124026	0.022348
24.548860	2.123979	0.022416
25.610833	2.123940	0.022482
26.672800	2.123904	0.022548
27.734737	2.123858	0.022614
28.796658	2.123818	0.022680
29.858555	2.123767	0.022746
30.920425	2.123701	0.022810
31.982256	2.123634	0.022876
33.044059	2.123570	0.022942
34.105826	2.123507	0.023008
35.167566	2.123472	0.023068
36.229298	2.123441	0.023132
37.291007	2.123405	0.023198
38.352703	2.123373	0.023266
39.414380	2.123330	0.023336
40.476033	2.123278	0.023402
41.537658	2.123221	0.023472
42.599254	2.123173	0.023540
43.660831	2.123131	0.023606
44.722385	2.123094	0.023670
45.783925	2.123050	0.023738
46.845435	2.123011	0.023802
47.906936	2.122974	0.023868
48.968409	2.122934	0.023942
50.029870	2.122897	0.024012
51.091306	2.122862	0.024076
52.152732	2.122823	0.024144
53.214129	2.122778	0.024214
54.275510	2.122739	0.024280
55.336868	2.122698	0.024352
56.398208	2.122658	0.024424
57.459526	2.122628	0.024496
58.520836	2.122595	0.024564
59.582121	2.122554	0.024634
60.643390	2.122512	0.024708
61.704633	2.122474	0.024778
62.765864	2.122439	0.024848
63.827072	2.122401	0.024920
64.888265	2.122374	0.024990
65.949446	2.122347	0.025060
67.010612	2.122315	0.025136
68.071761	2.122289	0.025206
69.132901	2.122255	0.025278
70.194016	2.122226	0.025352
71.255127	2.122198	0.025426
72.316214	2.122158	0.025496
73.377285	2.122115	0.025570
74.438329	2.122088	0.025646
75.499373	2.122067	0.025718
76.560396	2.122033	0.025792
77.621406	2.121991	0.025872
78.682387	2.121955	0.025946
79.743361	2.121924	0.026018
80.804311	2.121889	0.026094
81.865250	2.121851	0.026168
82.926162	2.121827	0.026244
83.987077	2.121803	0.026322
85.047965	2.121754	0.026402
86.108831	2.121709	0.026478
87.169674	2.121667	0.026552
88.230498	2.121644	0.026628
89.291318	2.121623	0.026708
90.352121	2.121593	0.026786
91.412911	2.121565	0.026866
92.473686	2.121530	0.026944
93.534441	2.121495	0.027022
94.595181	2.121460	0.027102
95.655901	2.121419	0.027182
96.716600	2.121380	0.027260
97.777281	2.121354	0.027338
98.837954	2.121325	0.027420
99.898606	2.121298	0.027504
100.959252	2.121266	0.027584
102.019872	2.121235	0.027660
103.080487	2.121210	0.027742
104.141082	2.121175	0.027828
105.201662	2.121138	0.027912
106.262220	2.121112	0.027988
107.322774	2.121088	0.028072
108.383308	2.121058	0.028160
109.443832	2.121024	0.028244
110.504332	2.121001	0.028324
111.564833	2.120987	0.028410
112.625319	2.120957	0.028494
113.685790	2.120926	0.028576
114.746245	2.120899	0.028662
115.806689	2.120869	0.028746
116.867114	2.120841	0.028836
117.927530	2.120811	0.028924
118.987925	2.120779	0.029006
120.048309	2.120749	0.029094
121.108674	2.120721	0.029180
122.169030	2.120699	0.029264
123.229373	2.120676	0.029358
124.289706	2.120642	0.029448
125.350015	2.120620	0.029534
126.410326	2.120597	0.029628
127.470612	2.120569	0.029720
128.530895	2.120541	0.029802
129.591153	2.120516	0.029894
130.651411	2.120497	0.029986
131.711650	2.120471	0.030076
132.771882	2.120437	0.030172
133.832087	2.120396	0.030266
134.892278	2.120367	0.030356
135.952454	2.120348	0.030452
137.012626	2.120322	0.030544
138.072776	2.120296	0.030632
139.132922	2.120272	0.030724
140.193048	2.120251	0.030824
141.253173	2.120224	0.030922
142.313272	2.120190	0.031016
143.373363	2.120162	0.031110
144.433434	2.120135	0.031204
145.493498	2.120106	0.031300
146.553540	2.120083	0.031396
147.613581	2.120062	0.031494
148.673602	2.120027	0.031592
149.733608	2.119989	0.031688
150.793591	2.119957	0.031782
151.853565	2.119935	0.031882
152.913526	2.119911	0.031980
153.973476	2.119883	0.032080
155.033409	2.119859	0.032178
156.093335	2.119832	0.032274
157.153241	2.119810	0.032370
158.213145	2.119787	0.032474
159.273028	2.119757	0.032576
160.332902	2.119728	0.032668
161.392756	2.119707	0.032768
162.452609	2.119680	0.032874
163.512436	2.119643	0.032976
164.572252	2.119611	0.033076
165.632047	2.119583	0.033174
166.691835	2.119556	0.033274
167.751603	2.119530	0.033378
168.811365	2.119500	0.033478
169.871103	2.119467	0.033582
170.930832	2.119430	0.033684
171.990533	2.119388	0.033790
173.050220	2.119355	0.033892
174.109888	2.119336	0.033992
175.169556	2.119330	0.034092
176.229218	2.119314	0.034200
177.288870	2.119284	0.034304
178.348502	2.119256	0.034408
179.408126	2.119235	0.034520
180.467737	2.119221	0.034630
181.527347	2.119197	0.034738
182.586934	2.119169	0.034844
183.646516	2.119142	0.034952
184.706076	2.119112	0.035060
185.765628	2.119078	0.035168
186.825154	2.119050	0.035272
187.884678	2.119028	0.035384
188.944182	2.119003	0.035500
190.003681	2.118980	0.035610
191.063162	2.118953	0.035716
192.122634	2.118928	0.035824
193.182090	2.118902	0.035936
194.241536	2.118871	0.036048
195.300961	2.118849	0.036158
196.360385	2.118809	0.036266
197.419770	2.118806	0.036376
198.479191	2.118813	0.036494
199.538583	2.118761	0.036610
200.597952	2.118732	0.036724
201.657315	2.118713	0.036838
202.716665	2.118679	0.036950
203.775994	2.118649	0.037064
204.835314	2.118624	0.037180
205.894618	2.118608	0.037296
206.953922	2.118589	0.037408
208.013207	2.118563	0.037526
209.072485	2.118546	0.037642
210.131753	2.118531	0.037758
211.191016	2.118501	0.037872
212.250254	2.118478	0.037988
213.309494	2.118458	0.038112
214.368712	2.118440	0.038228
215.427934	2.118418	0.038344
216.487130	2.118392	0.038464
217.546326	2.118375	0.038584
218.605505	2.118361	0.038702
219.664687	2.118341	0.038818
220.723846	2.118326	0.038932
221.783013	2.118313	0.039054
222.842159	2.118280	0.039174
223.901293	2.118256	0.039298
224.960415	2.118248	0.039418
226.019541	2.118236	0.039526
227.078651	2.118216	0.039646
228.137757	2.118204	0.039778
229.196855	2.118184	0.039902
230.255941	2.118148	0.040026
231.315003	2.118135	0.040150
232.374076	2.118130	0.040280
233.433133	2.118113	0.040402
234.492189	2.118070	0.040526
235.551203	2.118040	0.040654
236.610229	2.118037	0.040774
237.669240	2.118022	0.040908
238.728251	2.118001	0.041042
239.787241	2.117980	0.041166
240.846231	2.117954	0.041294
241.905195	2.117935	0.041426
242.964166	2.117907	0.041560
244.023102	2.117895	0.041688
245.082061	2.117896	0.041810
246.140998	2.117880	0.041940
247.199941	2.117858	0.042078
248.258856	2.117838	0.042212
