#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
2.995813	2.147375	0.011314
4.069428	2.147148	0.011348
5.142961	2.146964	0.011378
6.216392	2.146754	0.011420
7.289715	2.146527	0.011462
8.362919	2.146303	0.011498
9.436018	2.146083	0.011540
10.509002	2.145881	0.011580
11.581899	2.145682	0.011618
12.654684	2.145467	0.011660
13.727366	2.145255	0.011700
14.799939	2.145051	0.011738
15.872417	2.144855	0.011778
16.944794	2.144653	0.011816
18.017070	2.144444	0.011856
19.089238	2.144236	0.011900
20.161306	2.144033	0.011936
21.233271	2.143843	0.011974
22.305149	2.143661	0.012018
23.376932	2.143471	0.012060
24.448620	2.143283	0.012104
25.520215	2.143109	0.012138
26.591729	2.142914	0.012182
27.663129	2.142714	0.012230
28.734443	2.142541	0.012266
29.805670	2.142370	0.012308
30.876813	2.142188	0.012350
31.947858	2.142018	0.012388
33.018831	2.141848	0.012430
34.089706	2.141655	0.012472
35.160486	2.141480	0.012512
36.231186	2.141314	0.012556
37.301800	2.141133	0.012596
38.372319	2.140962	0.012638
39.442762	2.140806	0.012680
40.513125	2.140634	0.012726
41.583396	2.140462	0.012768
42.653587	2.140307	0.012806
43.723703	2.140133	0.012850
44.793720	2.139965	0.012892
45.863668	2.139809	0.012936
46.933529	2.139645	0.012982
48.003313	2.139493	0.013026
49.073022	2.139344	0.013064
50.142657	2.139179	0.013106
51.212201	2.139017	0.013158
52.281674	2.138870	0.013204
53.351071	2.138728	0.013246
54.420402	2.138564	0.013292
55.489635	2.138405	0.013334
56.558807	2.138264	0.013374
57.627899	2.138113	0.013418
58.696920	2.137966	0.013460
59.765865	2.137829	0.013506
60.834749	2.137686	0.013558
61.903551	2.137529	0.013602
62.972278	2.137388	0.013644
64.040939	2.137252	0.013690
65.109530	2.137108	0.013736
66.178047	2.136934	0.013778
67.246464	2.136794	0.013820
68.314841	2.136695	0.013866
69.383159	2.136576	0.013914
70.451417	2.136442	0.013962
71.519601	2.136286	0.014006
72.587703	2.136166	0.014050
73.655767	2.136030	0.014098
74.723733	2.135859	0.014142
75.791626	2.135743	0.014184
76.859476	2.135651	0.014232
77.927277	2.135514	0.014286
78.994990	2.135374	0.014336
80.062651	2.135269	0.014378
81.130259	2.135161	0.014422
82.197812	2.135025	0.014456
83.265284	2.134884	0.014500
84.332696	2.134761	0.014556
85.400045	2.134635	0.014606
86.467331	2.134520	0.014654
87.534565	2.134410	0.014698
88.601741	2.134290	0.014742
89.668855	2.134171	0.014786
90.735912	2.134049	0.014836
91.802904	2.133936	0.014892
92.869848	2.133821	0.014940
93.936725	2.133705	0.014986
95.003553	2.133631	0.015034
96.070356	2.133523	0.015084
