#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	446	0.052	645
0.076	446	0.102	646
0.127	446	0.153	646
0.178	447	0.203	643
0.229	447	0.254	646
0.279	447	0.305	647
0.330	445	0.356	646
0.380	447	0.406	647
0.432	446	0.457	645
0.482	447	0.507	646
0.533	448	0.559	644
0.583	447	0.609	644
0.634	446	0.660	649
0.684	448	0.710	644
0.736	447	0.761	650
0.786	447	0.811	645
0.837	448	0.863	648
0.887	447	0.913	647
0.938	446	0.964	649
0.989	446	1.014	646
1.040	448	1.065	648
1.090	444	1.116	646
1.141	447	1.167	648
1.191	445	1.217	646
1.243	445	1.268	636
1.293	447	1.318	620
1.344	446	1.370	594
1.394	447	1.420	564
1.445	446	1.471	529
1.495	446	1.521	491
1.547	446	1.572	453
1.597	447	1.622	416
1.648	446	1.674	382
1.698	447	1.724	354
1.749	446	1.775	333
1.801	447	1.825	321
1.851	447	1.876	316
1.902	446	1.927	321
1.952	447	1.978	332
2.003	447	2.028	349
2.054	446	2.079	373
2.105	446	2.129	404
2.155	447	2.181	437
2.206	446	2.231	473
2.256	447	2.282	508
2.308	446	2.332	542
2.358	446	2.383	572
2.409	447	2.433	596
2.459	446	2.485	614
2.510	445	2.535	626
2.560	447	2.586	631
2.612	446	2.636	628
2.662	447	2.687	617
2.713	447	2.738	600
2.763	448	2.789	579
2.814	446	2.839	551
2.865	447	2.890	520
2.916	447	2.940	487
2.966	448	2.992	453
3.017	447	3.042	422
3.067	447	3.093	392
3.119	446	3.143	369
3.169	447	3.194	349
3.220	447	3.244	337
3.270	446	3.296	334
3.321	446	3.346	335
3.371	447	3.397	344
3.423	446	3.447	360
3.473	445	3.498	381
3.524	445	3.549	407
3.574	446	3.600	437
3.625	446	3.650	470
3.676	446	3.701	503
3.727	446	3.751	535
3.777	447	3.803	563
3.828	447	3.853	587
3.878	448	3.904	606
3.930	447	3.954	619
3.980	448	4.005	623
4.031	447	4.055	621
4.081	447	4.107	613
4.132	447	4.157	598
4.182	447	4.208	576
4.234	447	4.258	551
4.284	447	4.309	521
4.335	447	4.360	488
4.385	446	4.411	456
4.436	447	4.461	425
4.487	447	4.512	397
4.538	447	4.562	373
4.588	446	4.614	355
4.639	445	4.664	342
4.689	447	4.715	339
4.741	446	4.765	341
4.791	445	4.816	352
4.842	447	4.866	368
4.892	446	4.918	388
4.943	446	4.968	413
4.993	447	5.019	443
5.045	446	5.069	475
5.095	447	5.120	505
5.146	448	5.171	535
5.196	446	5.222	562
5.247	447	5.272	584
5.298	448	5.323	601
5.349	447	5.373	611
5.399	447	5.425	616
5.450	447	5.475	615
5.500	447	5.526	605
5.552	447	5.576	592
5.602	447	5.627	571
5.653	448	5.677	546
5.703	448	5.729	518
5.754	447	5.780	488
