#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	512	0.051	413
0.076	515	0.101	412
0.127	511	0.153	413
0.177	515	0.203	413
0.228	509	0.254	413
0.279	517	0.304	413
0.330	512	0.355	411
0.380	513	0.406	413
0.431	510	0.457	412
0.481	513	0.507	411
0.533	513	0.558	416
0.584	515	0.608	410
0.634	513	0.659	415
0.685	510	0.710	411
0.735	518	0.761	415
0.786	510	0.811	415
0.837	510	0.862	419
0.888	500	0.912	431
0.938	485	0.964	448
0.989	467	1.014	468
1.039	443	1.065	489
1.091	419	1.115	517
1.141	393	1.166	541
1.192	369	1.217	564
1.242	345	1.268	586
1.293	326	1.318	604
1.344	309	1.369	617
1.395	298	1.419	624
1.445	293	1.470	626
1.496	294	1.521	623
1.546	302	1.572	613
1.597	315	1.622	599
1.648	331	1.673	581
1.699	352	1.723	559
1.749	376	1.775	535
1.800	402	1.825	510
1.850	427	1.876	486
1.902	451	1.926	464
1.952	472	1.977	445
2.003	490	2.028	431
2.053	503	2.079	421
2.104	509	2.129	415
2.155	511	2.180	417
2.206	507	2.230	424
2.256	495	2.282	436
2.307	481	2.332	453
2.357	463	2.383	473
2.408	440	2.433	497
2.459	414	2.484	520
2.510	388	2.534	544
2.560	364	2.586	567
2.611	343	2.636	586
2.661	325	2.687	603
2.713	309	2.737	616
2.763	300	2.788	621
2.814	297	2.839	622
2.864	298	2.890	617
2.915	306	2.940	607
2.966	320	2.991	593
3.017	337	3.041	574
3.067	356	3.093	553
3.118	381	3.143	530
3.168	406	3.194	505
3.219	430	3.244	484
3.270	453	3.295	461
3.321	472	3.345	443
3.371	488	3.397	431
3.422	500	3.447	422
3.472	507	3.498	419
3.524	508	3.548	421
3.574	503	3.599	427
3.625	491	3.650	441
3.675	479	3.701	458
3.726	458	3.751	478
3.777	435	3.802	501
3.828	412	3.853	525
3.878	387	3.904	548
3.929	364	3.955	570
3.979	342	4.005	587
4.030	325	4.056	603
4.081	310	4.106	613
4.132	301	4.157	618
4.182	298	4.208	618
4.233	302	4.259	613
4.283	309	4.309	602
4.335	323	4.360	588
4.385	340	4.410	569
4.436	361	4.462	547
4.486	384	4.512	525
4.537	407	4.563	501
4.588	431	4.613	479
4.639	454	4.664	458
4.689	474	4.715	443
4.740	489	4.766	429
4.790	500	4.816	423
4.842	505	4.867	420
4.892	505	4.917	423
4.943	500	4.968	431
4.993	487	5.019	447
5.044	472	5.070	464
5.094	454	5.120	483
5.146	431	5.171	505
5.196	407	5.221	528
5.247	384	5.273	552
5.297	360	5.323	571
5.348	341	5.374	590
5.399	324	5.424	603
5.450	311	5.475	613
5.500	304	5.526	615
5.551	302	5.577	617
5.601	305	5.627	609
5.653	312	5.678	599
5.703	328	5.728	583
5.754	345	5.779	564
5.804	365	5.830	543
5.855	388	5.881	520
5.905	411	5.931	497
5.957	434	5.982	476
6.007	456	6.032	457
6.058	474	6.084	442
6.108	488	6.134	430
6.159	498	6.185	424
