#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	448	0.050	611
0.076	448	0.101	610
0.126	448	0.151	611
0.177	447	0.203	610
0.227	448	0.253	611
0.278	448	0.304	612
0.329	447	0.354	610
0.380	447	0.405	611
0.430	447	0.455	610
0.481	448	0.507	611
0.531	448	0.557	609
0.582	448	0.608	610
0.633	446	0.658	612
0.684	449	0.709	611
0.734	447	0.760	611
0.785	449	0.811	611
0.835	447	0.861	611
0.887	446	0.912	605
0.937	448	0.962	595
0.988	448	1.014	577
1.038	448	1.064	554
1.089	447	1.115	527
1.140	448	1.165	501
1.191	448	1.216	469
1.241	447	1.266	441
1.292	448	1.318	412
1.342	447	1.368	389
1.393	449	1.419	370
1.444	448	1.469	356
1.495	448	1.520	349
1.545	449	1.571	347
1.596	447	1.622	354
1.646	448	1.672	364
1.698	448	1.723	383
1.748	447	1.773	405
1.799	447	1.825	431
1.849	448	1.875	459
1.900	447	1.926	489
1.951	448	1.976	518
2.002	448	2.027	545
2.052	448	2.077	568
2.103	448	2.129	587
2.153	447	2.179	599
2.204	448	2.230	606
2.255	447	2.280	607
2.306	448	2.331	601
2.357	448	2.382	589
2.407	448	2.433	571
2.458	448	2.483	550
2.509	449	2.534	523
2.560	449	2.584	496
2.610	448	2.636	467
2.661	448	2.686	439
2.711	448	2.737	413
2.763	448	2.787	390
2.813	447	2.838	372
2.864	448	2.889	358
2.914	446	2.940	352
2.965	448	2.990	353
3.015	448	3.041	358
3.067	447	3.091	370
3.117	448	3.142	389
3.168	447	3.193	410
3.218	446	3.244	437
3.269	447	3.294	464
3.320	447	3.345	491
3.371	447	3.395	520
3.421	446	3.447	545
3.472	447	3.497	568
3.522	449	3.548	585
3.574	447	3.598	598
3.624	447	3.649	604
3.675	448	3.700	604
3.725	449	3.751	597
3.776	448	3.801	585
3.826	449	3.852	568
3.878	448	3.902	546
3.928	448	3.953	520
3.979	448	4.004	493
4.029	448	4.055	464
4.080	447	4.105	437
4.131	448	4.156	412
4.182	449	4.206	389
4.232	447	4.258	373
4.283	447	4.308	361
4.333	448	4.359	356
4.385	448	4.409	356
4.435	447	4.460	363
4.486	447	4.511	376
4.536	447	4.562	392
4.587	447	4.612	413
4.637	447	4.663	440
4.689	447	4.713	468
4.739	447	4.764	496
4.790	448	4.815	522
4.840	447	4.866	548
4.891	447	4.916	568
4.942	448	4.967	585
4.993	447	5.017	595
5.043	448	5.069	601
5.094	447	5.119	600
5.144	449	5.170	593
5.196	449	5.220	581
5.246	448	5.271	563
5.297	449	5.322	543
5.347	449	5.373	515
5.398	448	5.424	489
5.449	447	5.474	462
5.500	448	5.525	435
5.550	446	5.575	411
5.601	448	5.627	391
5.651	447	5.677	374
5.702	447	5.728	363
5.753	447	5.778	357
5.804	447	5.829	360
5.854	447	5.880	367
5.905	447	5.931	380
5.955	447	5.981	399
6.007	448	6.032	419
6.057	448	6.082	443
6.108	448	6.134	470
6.158	448	6.184	498
6.209	447	6.235	524
6.260	447	6.285	548
6.311	449	6.336	568
6.361	449	6.386	583
6.412	448	6.438	594
6.462	448	6.488	597
6.513	448	6.539	598
6.564	448	6.589	590
6.615	449	6.640	577
6.665	448	6.691	558
6.716	449	6.742	538
6.766	448	6.792	512
6.818	447	6.843	487
6.868	446	6.893	459
6.919	447	6.945	433
6.969	448	6.995	410
7.020	448	7.046	392
7.071	448	7.096	375
7.122	447	7.147	364
7.172	447	7.197	362
7.223	448	7.249	363
7.273	446	7.299	370
7.324	447	7.350	385
7.375	445	7.400	402
7.426	447	7.451	423
7.476	448	7.502	449
7.527	447	7.553	474
7.577	448	7.603	501
7.629	447	7.654	526
7.679	449	7.704	549
7.730	448	7.756	567
7.780	449	7.806	581
7.831	450	7.857	593
7.882	449	7.907	595
7.933	448	7.958	593
7.983	448	8.009	587
8.034	449	8.060	573
8.084	448	8.110	554
8.135	448	8.161	534
8.186	446	8.211	508
8.237	447	8.262	483
8.288	446	8.313	457
8.338	446	8.364	432
8.389	448	8.414	410
8.440	448	8.465	391
8.491	447	8.515	378
8.541	447	8.567	368
8.592	447	8.617	365
8.642	449	8.668	367
8.694	447	8.718	374
8.744	447	8.769	389
8.795	448	8.820	405
8.845	448	8.871	428
8.896	448	8.921	452
8.946	447	8.972	478
8.998	448	9.022	503
9.048	447	9.073	527
9.099	448	9.124	549
9.149	448	9.175	568
9.200	448	9.225	581
9.251	448	9.276	590
9.302	448	9.326	593
9.352	448	9.378	591
9.403	448	9.428	581
9.453	448	9.479	568
9.505	448	9.529	550
9.555	448	9.580	530
9.606	448	9.631	505
9.656	448	9.682	480
9.707	447	9.732	455
9.757	447	9.783	431
9.809	447	9.833	410
9.859	447	9.884	392
9.910	447	9.935	378
9.960	448	9.986	369
10.011	448	10.036	367
10.062	448	10.087	370
10.113	447	10.137	378
10.163	448	10.189	392
10.214	448	10.239	409
10.264	448	10.290	432
10.316	447	10.340	456
10.366	448	10.391	480
10.417	449	10.442	505
10.467	448	10.493	529
10.518	448	10.543	550
10.569	448	10.594	568
10.620	448	10.644	580
10.670	448	10.695	587
10.721	448	10.746	590
10.771	447	10.797	586
10.822	448	10.847	578
10.873	448	10.898	564
10.924	447	10.948	545
10.974	448	11.000	525
11.025	448	11.050	501
11.075	449	11.101	477
11.127	448	11.151	453
11.177	448	11.202	430
11.228	447	11.253	409
11.278	447	11.304	392
11.329	448	11.355	379
11.380	448	11.405	372
11.431	448	11.456	369
11.481	448	11.506	374
11.532	448	11.558	383
11.582	448	11.608	396
11.633	448	11.659	415
11.684	448	11.709	435
11.735	448	11.760	459
11.785	447	11.811	483
11.836	448	11.862	507
11.886	448	11.912	530
11.938	448	11.963	549
11.988	448	12.013	565
12.039	447	12.065	577
12.089	448	12.115	586
12.140	446	12.166	588
12.191	449	12.216	583
12.242	448	12.267	574
12.292	448	12.317	561
12.343	448	12.369	543
12.393	447	12.419	522
12.444	447	12.470	498
12.495	448	12.520	474
12.546	448	12.571	452
12.596	448	12.622	429
12.647	448	12.673	409
12.697	448	12.723	391
12.749	448	12.774	381
12.799	447	12.824	375
12.850	447	12.876	373
12.900	448	12.926	377
12.951	448	12.977	388
13.002	447	13.027	401
13.053	447	13.078	418
13.103	447	13.129	439
13.154	447	13.180	463
13.204	448	13.230	487
13.255	447	13.281	510
13.306	447	13.331	533
13.357	448	13.382	552
13.407	448	13.433	567
13.458	447	13.484	576
13.508	448	13.534	584
13.560	447	13.585	584
13.610	448	13.635	580
13.661	447	13.687	571
13.711	448	13.737	556
13.762	448	13.788	538
13.813	449	13.838	518
13.864	448	13.889	496
13.914	448	13.940	471
13.965	448	13.991	448
14.015	448	14.041	428
14.066	447	14.092	409
14.117	448	14.142	392
14.168	448	14.193	383
14.218	448	14.244	377
14.269	447	14.295	376
