#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	505	0.051	609
0.076	506	0.101	613
0.127	506	0.152	613
0.177	506	0.203	612
0.228	504	0.254	610
0.278	506	0.304	611
0.329	505	0.355	614
0.380	507	0.405	611
0.431	507	0.456	610
0.481	506	0.507	610
0.532	506	0.558	615
0.582	507	0.608	611
0.634	506	0.659	612
0.684	507	0.709	612
0.735	505	0.761	614
0.785	507	0.811	613
0.836	509	0.862	612
0.887	506	0.912	613
0.938	509	0.963	611
0.988	505	1.014	613
1.039	501	1.065	610
1.089	492	1.115	605
1.141	476	1.166	592
1.192	460	1.216	575
1.242	441	1.267	556
1.293	420	1.318	534
1.343	399	1.369	512
1.394	378	1.419	488
1.445	359	1.470	465
1.496	343	1.520	446
1.546	331	1.572	429
1.597	320	1.622	417
1.647	317	1.673	410
1.699	316	1.723	406
1.749	321	1.774	408
1.800	331	1.825	416
1.850	345	1.876	430
1.901	361	1.926	446
1.952	380	1.977	466
2.003	401	2.027	488
2.053	421	2.078	511
2.104	442	2.129	534
2.154	461	2.180	556
2.205	474	2.230	575
2.256	487	2.281	591
2.307	497	2.331	604
2.357	500	2.383	610
2.408	500	2.433	612
2.458	495	2.484	608
2.510	486	2.534	601
2.560	473	2.585	588
2.611	458	2.636	572
2.661	439	2.687	551
2.712	418	2.737	530
2.763	400	2.788	506
2.814	379	2.838	484
2.864	360	2.889	462
2.915	346	2.940	444
2.965	334	2.991	428
3.016	326	3.041	415
3.067	322	3.092	410
3.118	323	3.142	407
3.168	328	3.194	412
3.219	337	3.244	420
3.269	350	3.295	434
3.321	365	3.345	450
3.371	384	3.396	471
3.422	402	3.447	493
3.472	421	3.498	515
3.523	440	3.548	538
3.574	458	3.599	560
3.625	472	3.650	577
3.675	483	3.701	594
3.726	491	3.752	604
3.776	496	3.802	610
3.827	494	3.853	611
3.878	490	3.903	607
3.929	482	3.954	598
3.979	468	4.005	585
4.030	454	4.056	568
4.080	435	4.106	547
4.132	417	4.157	525
4.182	397	4.207	502
4.233	380	4.259	479
4.283	362	4.309	459
4.334	349	4.360	441
4.385	338	4.410	425
4.436	330	4.461	415
4.486	327	4.512	410
4.537	326	4.563	410
4.587	332	4.613	414
4.638	341	4.664	423
4.689	353	4.714	438
4.740	368	4.765	454
4.790	385	4.816	476
4.841	403	4.867	498
4.891	421	4.917	521
4.943	438	4.968	544
4.993	456	5.018	564
5.044	469	5.070	583
5.094	480	5.120	595
5.145	487	5.171	604
5.196	491	5.221	609
5.247	490	5.272	608
5.297	486	5.323	604
5.348	477	5.374	594
5.398	464	5.424	579
5.449	452	5.475	561
5.500	433	5.525	542
5.551	417	5.576	520
5.601	398	5.627	497
5.652	382	5.678	475
5.702	365	5.728	455
5.754	351	5.779	438
5.804	341	5.829	425
5.855	334	5.881	415
5.905	330	5.931	411
5.956	331	5.982	412
6.007	336	6.032	417
6.058	344	6.083	428
6.108	356	6.134	444
6.159	370	6.185	461
6.209	385	6.235	482
6.261	403	6.286	504
6.311	420	6.336	525
6.362	438	6.387	548
6.412	453	6.438	566
6.463	466	6.489	583
6.513	477	6.539	595
6.565	484	6.590	603
6.615	487	6.640	609
6.666	487	6.692	607
6.716	482	6.742	599
6.767	473	6.793	590
6.818	463	6.843	574
6.869	450	6.894	557
6.919	434	6.945	537
6.970	416	6.996	515
7.020	399	7.046	492
7.072	383	7.097	471
7.122	367	7.147	452
7.173	355	7.198	436
7.223	344	7.249	424
7.274	338	7.300	415
7.324	334	7.350	413
7.376	335	7.401	415
7.426	339	7.451	420
7.477	345	7.503	434
7.527	357	7.553	447
7.578	371	7.604	467
7.629	386	7.654	487
7.680	403	7.705	508
7.730	419	7.756	531
7.781	436	7.807	552
7.831	451	7.857	569
7.883	463	7.908	584
7.933	474	7.958	595
7.984	481	8.009	604
8.034	484	8.060	605
8.085	485	8.111	603
8.135	479	8.161	596
8.187	472	8.212	584
8.237	461	8.262	568
8.288	449	8.314	550
8.338	433	8.364	530
8.389	417	8.415	509
8.440	401	8.465	486
8.491	384	8.516	468
8.541	370	8.567	449
8.592	357	8.618	435
8.642	347	8.668	424
8.694	340	8.719	417
8.744	335	8.769	416
8.795	336	8.821	419
8.845	341	8.871	427
8.896	348	8.922	439
8.946	359	8.972	453
8.998	371	9.023	474
9.048	386	9.073	492
9.099	402	9.125	514
9.149	418	9.175	535
9.200	434	9.226	554
9.251	449	9.276	571
9.302	461	9.327	586
9.352	471	9.378	596
9.403	479	9.429	602
9.453	482	9.479	602
9.505	482	9.530	599
9.555	477	9.580	591
9.606	471	9.632	579
9.656	461	9.682	564
9.707	447	9.733	544
9.757	433	9.783	524
9.809	418	9.834	504
9.859	401	9.884	484
9.910	385	9.936	464
9.960	370	9.986	448
10.011	357	10.037	434
10.062	348	10.087	426
10.113	341	10.138	419
10.163	338	10.189	419
10.214	339	10.240	423
10.264	342	10.290	432
10.316	349	10.341	445
10.366	359	10.391	459
10.417	372	10.443	478
10.467	387	10.493	497
10.518	402	10.544	519
10.568	418	10.594	539
10.620	435	10.645	557
10.670	449	10.695	573
10.721	461	10.747	586
10.771	470	10.797	595
10.822	478	10.848	599
10.874	480	10.898	599
10.924	480	10.949	594
10.975	477	11.000	586
11.025	470	11.051	572
11.076	460	11.101	556
11.127	448	11.152	538
11.178	433	11.202	520
11.228	418	11.254	499
11.279	402	11.304	480
11.329	385	11.355	461
11.381	372	11.405	447
11.431	359	11.456	435
11.482	350	11.506	426
11.532	343	11.558	423
11.583	339	11.608	423
11.633	339	11.659	428
11.685	343	11.709	438
11.735	350	11.760	451
11.786	360	11.811	466
11.836	372	11.862	484
11.887	386	11.912	503
11.938	402	11.963	523
11.989	418	12.013	541
12.039	433	12.065	559
12.090	447	12.115	574
12.140	461	12.166	585
12.192	470	12.216	592
12.242	476	12.267	596
12.293	479	12.317	595
12.343	480	12.369	589
12.394	477	12.419	580
12.444	469	12.470	567
12.496	460	12.520	552
12.546	447	12.571	533
12.597	433	12.622	515
12.647	417	12.673	496
12.698	400	12.723	477
12.749	386	12.774	461
12.800	373	12.824	448
12.850	360	12.876	436
12.901	350	12.926	429
12.951	343	12.977	426
13.003	339	13.027	427
13.053	339	13.078	433
13.104	343	13.128	444
13.154	350	13.180	457
13.205	360	13.230	471
13.255	372	13.281	489
13.307	387	13.331	507
13.357	402	13.382	527
13.408	419	13.433	544
13.458	434	13.484	560
13.509	447	13.534	573
13.560	460	13.585	583
13.611	469	13.635	589
13.661	476	13.687	591
13.712	480	13.737	589
13.762	480	13.788	584
13.814	476	13.838	574
13.864	469	13.889	561
13.915	458	13.939	545
13.965	446	13.991	528
14.016	433	14.042	510
14.066	416	14.092	492
14.118	400	14.143	475
14.168	385	14.193	460
14.219	371	14.245	447
14.269	358	14.295	438
14.320	349	14.346	433
14.371	343	14.396	431
14.422	340	14.447	432
14.472	339	14.498	438
14.523	344	14.549	448
14.573	351	14.599	461
14.625	361	14.650	477
14.675	374	14.700	493
14.726	388	14.752	512
14.776	403	14.802	530
14.827	419	14.853	545
14.877	434	14.903	560
14.929	449	14.954	572
14.979	461	15.004	580
15.030	470	15.056	587
15.080	476	15.106	587
15.131	479	15.157	584
15.182	479	15.207	578
15.233	476	15.258	568
15.283	468	15.309	555
15.334	457	15.360	541
15.384	445	15.410	524
15.436	431	15.461	507
15.486	415	15.511	490
15.537	399	15.563	474
15.587	384	15.613	461
15.638	371	15.664	448
15.688	358	15.714	442
15.740	349	15.765	436
15.790	342	15.815	436
15.841	340	15.867	437
15.891	340	15.917	445
15.942	344	15.968	454
15.993	353	16.018	467
16.044	361	16.069	482
16.094	376	16.120	497
16.145	390	16.171	514
